Blueprint	Name	Description	Grouping	Category	Family	Classification	Heavy	Two Handed	Min Damage	Max Damage	Armor Pen	Dodge Reduction	Extra Hit Chance	Rate of Fire	Recoil	Max Range	Ammo	Attack 1	Type	Cost	GFX	On Hit	Attack 2	Type	Cost	GFX	On Hit	Attack 3	Type	Cost	GFX	On Hit	Attack 4	Type	Cost	GFX	On Hit	Attack 5	Type	Cost	GFX	On Hit	Sources	Extra Facts
ArcRifleT2_Item	Alpha's Arc Rifle	On a successful {g|Encyclopedia:HitSequenceGlossary}hit{/g} with this weapon, the wielder also attacks all targets in a 4-cell radius around the target.	Arc	Basic	Exotic	SniperRifle	false	true	28	32	15	0	0	1	0	16	4	SingleShot_Ability	SingleShot	2	ArcRifle_AbilityFXSettings	ArcRifleT2Chain_AbilityAdditionalEffect	ReloadAbility	Reload	3	ArcRifle_AbilityFXSettings			None					None					None				Chest - Test: TestRaritiesLoot	
ArcRifle_Item	Arc Rifle	Whenever the wielder {g|Encyclopedia:HitSequenceGlossary}hits{/g} a target with the arc rifle, they also attack all targets within 2 cells of the main target.	Arc	Basic	Exotic	SniperRifle	false	true	10	15	10	0	0	1	0	18	4	SingleShot_Ability	SingleShot	2	ArcRifle_AbilityFXSettings	ArcRifleChain_AbilityAdditionalEffect	ReloadAbility	Reload	3	ArcRifle_AbilityFXSettings			None					None					None				Unit - ExportedPregens: CassiaCompanion_level27_VasyaParty_ExportedPregen, Chest - CR10: Forest_GoodLoot2	
ArenaGlimmersteelBladeItem	Serrated Glimmersteel Blade	Each successful attack with this weapon increases the {g|Encyclopedia:DamageGlossary}damage{/g} of the {g|Encyclopedia:BleedingEffect}bleeding{/g} effect suffered by a target by +3.	Dagger	Melee	Primitive	Knife	false	false	17	28	15	50	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	Sword_AbilityFXSettings	ArenaGlimmersteelBlade_AdditionalEffect		None					None					None					None				Unit - HeinrixCompanion: FighterPsykerQA_AllDoTs, Vendor - PitBossChapter3_VendorTable_Base 0PF, Chest - Prison: Drukhari_PrisonPitOwnChest01	Parry10_Feature	ArenaGlimmersteelBladeFeature	Bleeding_Power8_ForWeapon_Feature
ArgentaBolterUnique_Item	Hymn of Vehemence	<b>War Hymn</b> and <b>Furious Recital</b> increase the {g|Encyclopedia:RateOfFire}rate of fire{/g} of this bolter by the number of enemies affected by <b>War Hymn</b> or <b>Furious Recital</b>.	Bolter	Basic	Bolt	false	false	true	20	30	20	0	0	4	30	24	14	SingleShot_Ability	SingleShot	1	Bolter_BoltShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Bolter_BoltShot_AbilityFXSettings		ReloadAbility	Reload	3	Bolter_BoltShot_AbilityFXSettings			None					None				Unit - ArgentaCompanion: ArgentaCompanion_Ch05_TrueStart, Vendor - DrusianChapter4_VendorTable_Base 99PF	ArgentaBolterUnique_Feature
ArgentaStartBolter_Item			Bolter	Basic	Bolt	false	false	true	6	10	15	0	0	4	40	24	14	SingleShot_Ability	SingleShot	1	Bolter_BoltShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Bolter_BoltShot_AbilityFXSettings		ReloadAbility	Reload	3	Bolter_BoltShot_AbilityFXSettings			None					None				Unit - ExportedPregens: ArgentaCompanion_Level7_EtelParty_ExportedPregen, Chest - Test: TestRaritiesLoot	
AssasinPistol_Item	Assassin's Pistol	This pistol deals double {g|Encyclopedia:DamageGlossary}damage{/g} to adjacent enemies.	Pistol	Pistol	Solid	false	false	false	10	16	15	0	0	6	15	10	12	SingleShot_PistolAbility	SingleShot	1	SolidPistolProjectile_Shot_AbilityFXSettings		BurstFire_PistolAbility	Burst	2	SolidPistolProjectile_Shot_AbilityFXSettings		ReloadAbility	Reload	1				None					None				Unit - Ch04_Canteena: Footfall_Vladaym_Ch04, Unit - ExportedPregens: PlayerRT_Level38_ArbitratorOfficer_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level38_OfficerOverseer_ExportedPregen, Unit - HeinrixCompanion: HeinrixCompanion_Ch05_Finale, Unit - HeinrixCompanion: HeinrixCompanion_Ch05_TrueStart, Chest - Test: TestRaritiesLoot	AssasinPistol_Feature	SolidProjectileWeapon_Feature
Assault_Lasgun_Item	Assault Lasgun	Every {g|Encyclopedia:HitSequenceGlossary}hit{/g} reduces {g|Encyclopedia:Deflection}deflection{/g} by −1. Stacks up to 3 times.	Lasgun	Basic	Laser	false	false	true	10	15	10	30	0	5	10	20	40	AssaultLasgun_SingleShot_Ability	SingleShot	1	Lasgun_LasShot_AbilityFXSettings		AssaultLasgun_BurstFire_Ability	Burst	2	Lasgun_LasShot_AbilityFXSettings		ReloadAbility	Reload	3	Lasgun_LasShot_AbilityFXSettings			None					None				Unit - ExportedPregens: Sayonara_23_Argenta_ExportedPregen, Unit - ExportedPregens: Sayonara_39lvl_Argenta_ExportedPregen, Unit - ExportedPregens: Sayonara_Argenta_23lvl_ExportedPregen	
AstartesBoltPistolT2_Item	[Mezoa-Pattern] Astartes Bolt Pistol		Bolter	Pistol	Bolt	false	false	false	20	30	20	0	0	4	30	20	24	SingleShot_PistolAbility	SingleShot	1	BoltPistol_BoltShot_AbilityFXSettings		BurstFire_PistolAbility	Burst	2	BoltPistol_BoltShot_AbilityFXSettings			None				ReloadAbility	Reload	2	BoltPistol_BoltShot_AbilityFXSettings			None				Unit - Ch05_UlfarQ2: GhostSpaceMarine_ChainSword_Melee_UlfarQ2, Vendor - LiegeChapter4_VendorTable_Base 74PF	
AstartesBoltPistol_Item	Astartes Bolt Pistol		Bolter	Pistol	Bolt	false	false	false	17	22	20	0	0	3	25	15	12	SingleShot_PistolAbility	SingleShot	1	BoltPistol_BoltShot_AbilityFXSettings		BurstFire_PistolAbility	Burst	2	BoltPistol_BoltShot_AbilityFXSettings			None				ReloadAbility	Reload	2	BoltPistol_BoltShot_AbilityFXSettings			None				Unit - Ch05_Epitaph: Ch05Inquisitor_Ulfar_unit, Unit - Ch02_ForgeWorldAndHeart: FriendlySpacewolfMarine_Pistol, Unit - Ch02_ForgeWorldAndHeart: RegindSpacewolfMarine_Melee, Unit - Ch04_Eufrates: CSM_MeleeRanged_UlfarQuest, Unit - Ch04_Eufrates: Halbrandt_MeleeRanged_UlfarQuest, Unit - SpaceMarineFight: Spacemarine_axe, Unit - ExportedPregens: Sayonara_39lvl_Ulfar_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Level37_TesseraParty_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Level37_ValladinParty_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Level38_ValladinParty_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Level47_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Lvl40_Bakula_ExportedPregen, Unit - UlfarCompanion: UlfarCompanion, Unit - UlfarCompanion: UlfarCompanion_GrandSpecticleNPC, Chest - CR0: Ch03_UlfarItemsChest	
AstartesBolter_Item	Astartes Bolter		Bolter	Basic	Bolt	false	false	true	25	35	25	0	0	3	25	24	15	SingleShot_Ability	SingleShot	1	Bolter_BoltShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Bolter_BoltShot_AbilityFXSettings		ReloadAbility	Reload	3	Bolter_BoltShot_AbilityFXSettings			None					None				Unit - Ch05_Epitaph: Ch05Inquisitor_Ulfar_unit, Unit - Ch02_ForgeWorldAndHeart: HalbrandtSpacewolfMarine_WarCouncilKTC, Unit - Ch03_CommorraghArena: CommorraghArenaUlfar, Unit - Ch04_Eufrates: EufratesCSM_HeavyBolter_unit, Unit - SpaceMarineFight: Spacemarine_bolter, Unit - ExportedPregens: Sayonara_39lvl_Ulfar_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Lvl40_Bakula_ExportedPregen, Unit - UlfarCompanion: UlfarCompanion, Unit - UlfarCompanion: UlfarCompanion_GrandSpecticleNPC	
AstartesChainAxeT2_Item	Rending Chainaxe	Axes have a special attack that inflicts {g|Encyclopedia:BleedingEffect}bleeding{/g}.	Axe	Melee	Chain	false	false	false	30	40	40	0	0	0	0	1	-1	MeleeAttack_ability	SingleShot	1	ChainAxe_AbilityFXSettings		OneHandedAxe_AoEAbility	AOE	2	ChainAxe_AbilityFXSettings		Axe_BleedAbility	SingleShot	2	ChainAxe_AbilityFXSettings	Axe_BleedAbilityAdditionalEffect		None					None				Unit - Ch04_Eufrates: EufratesCSM_Melee_unit	ChainCritDamage50_Feature	Bleeding_Power10_ForWeapon_Feature
AstartesChainAxe_Item	Astartes Chainaxe	Axes have a special attack that inflicts {g|Encyclopedia:BleedingEffect}bleeding{/g}.	Axe	Melee	Chain	false	false	false	12	18	15	0	0	0	0	1	-1	MeleeAttack_ability	SingleShot	1	ChainAxe_AbilityFXSettings		OneHandedAxe_AoEAbility	AOE	2	ChainAxe_AbilityFXSettings		Axe_BleedAbility	SingleShot	2	ChainAxe_AbilityFXSettings	Axe_BleedAbilityAdditionalEffect		None					None				Unit - Ch02_Lair1: ChaosSpacemarineLair1, Unit - Ch02_ForgeWorldAndHeart: ChaosSpacemarineMelee, Unit - Ch04_Eufrates: CSM_MeleeRanged_UlfarQuest	ChainCritDamage50_Feature	Bleeding_Power10_ForWeapon_Feature
AstartesChainswordT2_Item	[Ryza-Pattern] Astartes Chainsword	This chainsword grants +10% critical {g|Encyclopedia:HitSequenceGlossary}hit chance{/g}.	ChainSword	Melee	Chain	Sword	false	false	35	52	25	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	ChainSword_AbilityFXSettings		OneHandedSword_AoEAbility	AOE	2	ChainSword_AbilityFXSettings			None					None					None				Unit - ExportedPregens: UlfarCompanion_Level38_ValladinParty_ExportedPregen, Vendor - LiegeChapter4_VendorTable_Base 102PF	Parry10_Feature	AstartesChainsword_Feature	ChainCritDamage50_Feature
AstartesChainswordT2_Item_Ghost		This chainsword grants +10% critical {g|Encyclopedia:HitSequenceGlossary}hit chance{/g}.	ChainSword	Melee	Chain	Sword	false	false	35	52	25	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	ChainSword_AbilityFXSettings		OneHandedSword_AoEAbility	AOE	2	ChainSword_AbilityFXSettings			None					None					None				Unit - Ch05_UlfarQ2: GhostSpaceMarine_ChainSword_Melee_UlfarQ2	Parry10_Feature	AstartesChainsword_Feature	ChainCritDamage50_Feature
AstartesChainsword_Item	Astartes Chainsword	This chainsword grants +10% critical {g|Encyclopedia:HitSequenceGlossary}hit chance{/g}.	ChainSword	Melee	Chain	Sword	false	false	19	30	25	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	ChainSword_AbilityFXSettings		OneHandedSword_AoEAbility	AOE	2	ChainSword_AbilityFXSettings			None					None					None				Unit - Ch02_ForgeWorldAndHeart: FriendlySpacewolfMarine_Pistol, Unit - Ch02_ForgeWorldAndHeart: RegindSpacewolfMarine_Melee, Unit - Ch04_Eufrates: Halbrandt_MeleeRanged_UlfarQuest, Unit - SpaceMarineFight: Spacemarine_axe, Unit - ExportedPregens: Sayonara_39lvl_Ulfar_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Lvl40_Bakula_ExportedPregen, Chest - Prison: Drukhari_PrisonPitOwnChest01	Parry10_Feature	AstartesChainsword_Feature	ChainCritDamage50_Feature
AstartesCombatKnife_Item	Astartes Combat Knife	If an attack with this knife kills the target, the wielder restores +1 {g|Encyclopedia:ActionPoints}AP{/g} and can make an additional attack with this knife.	Dagger	Melee	Primitive	false	false	false	16	27	20	50	0	0	0	1	-1	MeleeAttack_ability	SingleShot	1	Knife_AbilityFXSettings			None					None					None					None				Unit - Ch02_ForgeWorldAndHeart: HalbrandtSpacewolfMarine_WarCouncilKTC, Unit - Ch03_CommorraghArena: CommorraghArenaUlfar1stFight, Unit - ExportedPregens: UlfarCompanion_Level37_TesseraParty_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Level37_ValladinParty_ExportedPregen, Unit - UlfarCompanion: UlfarCompanion, Unit - UlfarCompanion: UlfarCompanion_GrandSpecticleNPC, Chest - Test: TestRaritiesLoot	AstartesCombatKnife_Feature
AstartesFlamerT2_Item	[Mars-Pattern] Astartes Flamer	Flame weapons have 2 special area attacks with different areas of effect.	Flame	Basic	Flame	false	false	true	40	55	10	0	0	0	0	7	8	Flamer_LinearTemplate_Ability	AOE	1	Flamer7_Line_AbilityFXSettings	FlamersBurning_AdditionalEffect	Flamer_WideTemplate_Ability	AOE	2	Flamer7_Wide_AbilityFXSettings	FlamersBurning_AdditionalEffect	ReloadAbility	Reload	3	Flamer7_Wide_AbilityFXSettings			None					None				Unit - Ch04_Eufrates: EufratesCSM_HeavyFlamer_unit, Vendor - ExploratorChapter4_VendorTable_Base 124PF	Burning_Power12_ForWeapon_Feature
AstartesFlamer_Item	Astartes Flamer	Flame weapons have 2 special area attacks with different areas of effect.	Flame	Basic	Flame	false	false	true	23	34	10	0	0	0	0	7	10	Flamer_LinearTemplate_Ability	AOE	1	Flamer7_Line_AbilityFXSettings	FlamersBurning_AdditionalEffect	Flamer_WideTemplate_Ability	AOE	2	Flamer7_Wide_AbilityFXSettings	FlamersBurning_AdditionalEffect	ReloadAbility	Reload	3	Flamer7_Line_AbilityFXSettings			None					None				Unit - SpaceMarineFight: Spacemarine_flamer, Chest - Test: TestRaritiesLoot	Burning_Power12_ForWeapon_Feature
AstartesPlasmaPistolT2_Item	Massive Astartes Plasma Pistol		Plasma	Pistol	Plasma	false	false	false	25	33	50	0	0	0	0	16	16	SingleShotPlasmaPistol_Ability	SingleShot	1	PlasmaPistol_SingleShot_AbilityFXSettings		PlasmaPistol_OverchargeAoEAbility	AOE	2	PlasmaRifle_OverchargeAoE_AbilityFXSettings		PlasmaPistol_OverchargePowerAbility	Custom	2	PlasmaRifle_OverchargePower_AbilityFXSettings		ReloadAbility	Reload	1	PlasmaPistol_SingleShot_AbilityFXSettings			None				Unit - Ch05_UlfarQ2: GhostSpaceMarine_Bolter_Ranged_UlfarQ2	PlasmaPistol_Feature
AstartesPlasmaPistol_Item	Astartes Plasma Pistol		Plasma	Pistol	Plasma	false	false	false	35	40	45	0	0	0	0	16	16	SingleShotPlasmaPistol_Ability	SingleShot	1	PlasmaPistol_SingleShot_AbilityFXSettings		PlasmaPistol_OverchargeAoEAbility	AOE	2	PlasmaRifle_OverchargeAoE_AbilityFXSettings		PlasmaPistol_OverchargePowerAbility	Custom	2	PlasmaRifle_OverchargePower_AbilityFXSettings		ReloadAbility	Reload	1	PlasmaPistol_SingleShot_AbilityFXSettings			None				Chest - CR0: Forest_OrcWeaponLoot	PlasmaPistol_Feature
AstartesPowerSword_Item	Astartes Power Sword		PowerSword	Melee	Power	Sword	false	false	33	49	40	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	PowerSword_AbilityFXSettings		OneHandedSword_AoEAbility	AOE	2	PowerSword_AbilityFXSettings			None					None					None				Chest - CR0: ImperiumMilitary_GoodLoot_Bag	Parry10_Feature
AstartesStormBolter_Item	Astartes Storm Bolter		Bolter	Basic	Bolt	false	false	true	20	25	20	0	0	6	35	24	40	SingleShot_Ability	SingleShot	1	Bolter_BoltShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Bolter_BoltShot_AbilityFXSettings			None				ReloadAbility	Reload	4	Bolter_BoltShot_AbilityFXSettings			None				Unit - Ch04_Eufrates: CSM_MeleeRanged_UlfarQuestStormBolter	
AstronomiconRegallia_Item	Astronomican Regalia	Whenever allies become targets of a Navigator power that has not targeted them this combat, they gain +1 additional {g|Encyclopedia:ActionPoints}AP{/g} on their next turn.\n<i>{g|Encyclopedia:Infusing}Infusing{/g} (10)</i>: allies targeted by Navigator powers gain a +10 {g|Encyclopedia:Bonus}bonus{/g} to all their {g|Encyclopedia:Characteristic}characteristics{/g} until the end of the Navigator's next turn. This bonus stacks and is prolonged until the Navigator's next turn every time it stacks.\n<i>{g|Encyclopedia:Devastating}Devastating{/g} (6)</i>: the first use of an attacking Navigator power per turn does not set the power on {g|Encyclopedia:Cooldown}cooldown{/g} and does not count toward the attack limit per turn. The second use of this power or the use of a different attacking Navigator power on the same turn deals an additional +6 damage to all targets and 6 {g|Encyclopedia:DirectDamage}direct damage{/g} to the Navigator.\n<indent=5%>+15 {g|Encyclopedia:WarhammerWillpower}Willpower{/g}</indent>\n<indent=5%>+20 {g|Encyclopedia:WarhammerPerception}Perception{/g}</indent>	NavigatorStaff	Melee	Primitive	false	false	true	16	21	0	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	PowerMaul_AbilityFXSettings			None					None					None					None				Unit - CassiaCompanion: CassiaCompanion_Ch05_Finale, Unit - CassiaCompanion: CassiaCompanion_Ch05_TrueStart, Vendor - PirateChapter4_VendorTable_Base 81PF	InfusingTriggerFeature	DevastatingTriggerFeature	NavigatorStaffPerception20	NavigatorStaffWillpower15	AstronomiconRegallia_Feature
AstropathStaffOfMindsight_Item	Thought Guide	Allies of the wielder affected by psychic powers gain +{uip|Resolve|7d24ba5d71364a87ae9d1b7071b5bcd3} resolve for 1 round.\n<indent=5%>+10 {g|Encyclopedia:WarhammerWillpower}Willpower{/g}</indent>	PsykerStaff	Melee	Primitive	false	false	true	4	8	0	0	0	0	0	1	-1	MacesMeleeAttack_Ability	SingleShot	1	ForceSword_AbilityFXSettings		TelepathyWeaponVisionOfDeathAbility	Custom	2	AssailAbility_AbilityFXSettings		TelepathyWeaponVisionOfDeathAbilityHeroic	Custom	2	AssailAbility_AbilityFXSettings		TelepathyWeaponVisionOfDeathAbilityDesperate	Custom	2	AssailAbility_AbilityFXSettings			None				Vendor - PirateChapter4_VendorTable_Base 90PF	Willpower10_Feature	AstropathStaffOfMindsight_Feature
AstropathsStaff_Item	Detachment From Death	Allies of this staff's wielder have their dodge increased by +{unit_stat|WarhammerWillpower|bonus}%.	PsykerStaff	Melee	Primitive	false	false	true	4	8	0	0	0	0	0	1	-1	MacesMeleeAttack_Ability	SingleShot	1	ForceSword_AbilityFXSettings		TelepathyWeaponVisionOfDeathAbility	Custom	2	AssailAbility_AbilityFXSettings		TelepathyWeaponVisionOfDeathAbilityHeroic	Custom	2	AssailAbility_AbilityFXSettings		TelepathyWeaponVisionOfDeathAbilityDesperate	Custom	2	AssailAbility_AbilityFXSettings			None				Unit - DLC1_AstropathicChapel: ChoirMaster	Willpower10_Feature	AstropathsStaff_Feature
